Bin Id,Site,Year,Completeness,Redundancy,Strain heterogeneity,Genome size (Mbp), # contigs,GC,Domain,Phylum,Class,Order,Family,Genus,SJO_Jan 2016_10cm_MP02,SJO_Jan 2016_20cm_MP02,SJO_Jan 2016_10cm_MP15,SJO_Jan 2016_20cm_MP15,BVA_Feb 2016_10cm_MP05,BVA_Feb 2016_20cm_MP05,BVA_Feb 2016_10cm_MP12,BVA_Feb 2016_20cm_MP12,QUI_Feb 2016_10cm_MP05,QUI_Feb 2016_20cm_MP05,QUI_Feb 2016_10cm_MP10,QUI_Feb 2016_20cm_MP10,SJO_Jul 2015_20cm_MP02,SJO_Jul 2015_20cm_MP15,BVA_Aug 2015_20cm_MP10,BVA_Aug 2015_20cm_MP04,QUI_Oct 2015_10cm_MP10,QUI_Oct 2015_20cm_MP10,QUI_Oct 2015_10cm_MP05,QUI_Oct 2015_20cm_MP05,SJO_Oct 2015_20cm_MP02,SJO_Oct 2015_20cm_MP15,BVA_Oct 2015_20cm_MP06,BVA_Oct 2015_20cm_MP10,Average_Abundance_at_Site
0116_SJ02_281,San Jorge,16-Jan,57.31,3.1,33.33,1.789085,628,65,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__RBG-16-66-30,g__,0.036777926,0.042945183,5.481998555,0.050413499,,,,,,,,,,,,,,,,,,,,,1.403033791
0116_SJ02_294,San Jorge,16-Jan,76.88,8.59,38.46,2.816361,628,62.7,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__,6.512730293,5.519865669,3.597941376,0.488050959,,,,,,,,,,,,,,,,,,,,,4.029647074
0116_SJ02_305,San Jorge,16-Jan,71.05,6.84,0,2.535128,612,62,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__,0.075376297,0.097427795,6.478838526,0.070027442,,,,,,,,,,,,,,,,,,,,,1.680417515
0116_SJ02_312,San Jorge,16-Jan,84.25,6.99,33.33,5.653103,1104,51.6,d__Bacteria,p__Desulfobacterota,c__Desulfomonilia,o__Desulfomonilales,f__Desulfomonilaceae,g__,2.575433305,2.790622159,0.70636384,1.898669899,,,,,,,,,,,,,,,,,,,,,1.992772301
0116_SJ02_334,San Jorge,16-Jan,69.12,5.56,17.65,4.318335,720,48.6,d__Bacteria,p__Desulfobacterota,c__BSN033,o__BSN033,f__UBA1163,g__,4.968409816,10.78924532,8.878768902,0.057280043,,,,,,,,,,,,,,,,,,,,,6.17342602
0116_SJ02_40_011,San Jorge,16-Jan,90.37,3.59,85.71,2.115274,449,43,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__,23.56126594,30.04606238,9.434349833,9.577684507,,,,,,,,,,,,,,,,,,,,,18.15484067
0116_SJ02_40_027,San Jorge,16-Jan,74.43,2.75,50,1.29366,258,60.2,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__UBA183,g__,13.66501072,28.44996083,13.17691506,2.137943681,,,,,,,,,,,,,,,,,,,,,14.35745757
0116_SJ02_40_030,San Jorge,16-Jan,61.06,1.93,72.73,1.37086,480,43.6,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__,12.40662836,20.30575235,10.02352246,5.525551382,,,,,,,,,,,,,,,,,,,,,12.06536364
0116_SJ02_40_037,San Jorge,16-Jan,61.91,1.12,100,1.116939,384,61,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__UBA183,g__,10.46372244,12.52293801,4.344856547,1.635390825,,,,,,,,,,,,,,,,,,,,,7.241726956
0116_SJ02_40_068,San Jorge,16-Jan,94.01,4.21,50,2.752531,373,51.2,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,6.879546553,5.522242729,5.289758323,5.209523065,,,,,,,,,,,,,,,,,,,,,5.725267668
0116_SJ02_40_093,San Jorge,16-Jan,90.58,8.71,0,5.932103,1163,53.1,d__Bacteria,p__Desulfobacterota,c__SM23-61,o__SM23-61,f__SM23-61,g__,5.501238398,6.337530595,6.48003805,0.365296479,,,,,,,,,,,,,,,,,,,,,4.671025881
0116_SJ02_40_099,San Jorge,16-Jan,57.7,2.46,100,1.593351,565,51.3,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,4.461835552,5.899136539,2.671732229,9.605843607,,,,,,,,,,,,,,,,,,,,,5.659636982
0116_SJ02_40_108,San Jorge,16-Jan,69.9,6.21,36.36,1.759273,533,51.2,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,4.93619403,7.357286311,17.71454319,0.089499196,,,,,,,,,,,,,,,,,,,,,7.524380682
0116_SJ02_40_109,San Jorge,16-Jan,65.73,1.14,0,2.394026,422,69.3,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__UBA5066,g__,4.363344438,1.937870865,0.102374532,0.241635839,,,,,,,,,,,,,,,,,,,,,1.661306419
0116_SJ02_40_212,San Jorge,16-Jan,57.49,3.46,100,0.889571,316,50.8,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__,2.504179795,13.29921683,6.365062209,0.277413808,,,,,,,,,,,,,,,,,,,,,5.611468161
0116_SJ02_40_265,San Jorge,16-Jan,58.34,5.17,0,2.181432,416,65.7,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__Binatales,f__Binataceae,g__,2.093550981,1.668433332,0.334871947,3.631174788,,,,,,,,,,,,,,,,,,,,,1.932007762
0116_SJ02_40_519,San Jorge,16-Jan,58.4,3.67,40,2.33542,490,44.3,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__UBA2185,g__,0.237637825,1.948208088,7.396806111,0.014738362,,,,,,,,,,,,,,,,,,,,,2.399347597
0116_SJ02_40_643,San Jorge,16-Jan,53.7,6.41,55.56,1.56889,534,60.3,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__RBG-16-66-30,g__,0.026369129,0.08038465,5.518000991,0.032474538,,,,,,,,,,,,,,,,,,,,,1.414307327
0116_SJ02_402,San Jorge,16-Jan,94.91,0.93,0,4.68176,443,65.9,d__Bacteria,p__CSP1-3,c__CSP1-3,o__CSP1-3,f__NP-7,g__,3.204197847,5.077204326,4.011250586,0.23509552,,,,,,,,,,,,,,,,,,,,,3.13193707
0116_SJ02_405,San Jorge,16-Jan,71.45,7.04,0,2.710264,872,66.8,d__Bacteria,p__Planctomycetota,c__Brocadiae,o__CAIUPP01,f__CAIUPP01,g__,2.177848704,2.443371833,1.902611469,0.226779752,,,,,,,,,,,,,,,,,,,,,1.68765294
0116_SJ02_461,San Jorge,16-Jan,65.08,8.29,80.77,1.928403,593,62.3,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__,g__,16.44992976,11.68647274,6.565955985,3.113607848,,,,,,,,,,,,,,,,,,,,,9.453991583
0116_SJ02_463,San Jorge,16-Jan,62.22,9.1,35.29,2.181978,738,65.9,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Palsa-688,g__,0.037794642,0.356788187,5.637307694,0.057230053,,,,,,,,,,,,,,,,,,,,,1.522280144
0116_SJ02_5,San Jorge,16-Jan,72.03,4.3,25,1.807626,449,49.5,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__UBA9159,g__,2.620304486,3.703522787,5.812105476,0.212186865,,,,,,,,,,,,,,,,,,,,,3.087029904
0116_SJ02_519,San Jorge,16-Jan,74.27,4.69,66.67,1.486646,365,46.7,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,3.106631799,4.429227876,1.73973838,1.005426836,,,,,,,,,,,,,,,,,,,,,2.570256223
0116_SJ02_53,San Jorge,16-Jan,74.88,8.23,30.77,3.495676,726,60.9,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__,g__,9.165893452,5.980305374,5.5961891,0.541528391,,,,,,,,,,,,,,,,,,,,,5.320979079
0116_SJ02_545,San Jorge,16-Jan,80.77,5.13,33.33,2.453622,377,62.7,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__,0.235929206,2.315136376,11.99866075,0.064030908,,,,,,,,,,,,,,,,,,,,,3.65343931
0116_SJ02_558,San Jorge,16-Jan,73.71,9.71,0,1.80353,459,56.9,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__UBA183,g__,3.615133999,1.760344021,0.355277503,0.516367032,,,,,,,,,,,,,,,,,,,,,1.561780639
0116_SJ02_578,San Jorge,16-Jan,87.65,3.11,33.33,2.43803,85,64.1,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__RBG-16-66-30,g__,4.144631767,36.25430743,12.33687205,0.110631891,,,,,,,,,,,,,,,,,,,,,13.21161078
0116_SJ02_62,San Jorge,16-Jan,52.77,2.64,0,2.502201,508,63.1,d__Bacteria,p__Acidobacteriota,c__UBA6911,o__UBA6911,f__UBA6911,g__,0.953549749,3.664351822,1.888298787,0.081997522,,,,,,,,,,,,,,,,,,,,,1.64704947
0116_SJ02_66,San Jorge,16-Jan,75.84,6.43,54.55,3.041347,663,62,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__Binatales,f__Binataceae,g__,3.184157583,2.801190803,8.10771084,0.137708011,,,,,,,,,,,,,,,,,,,,,3.557691809
0116_SJ02_77,San Jorge,16-Jan,78.52,0,0,1.926178,249,40.5,d__Bacteria,p__Spirochaetota,c__Brevinematia,o__Brevinematales,f__JABLXN01,g__,4.034746999,8.076104959,6.832414805,0.056575369,,,,,,,,,,,,,,,,,,,,,4.749960533
0216_BV02_MP05.23,Buena Vista,16-Feb,68.45,4.18,0,0.863507,230,54.1,d__Archaea,p__Thermoproteota,c__EX4484-205,o__EX4484-205,f__JAAOZO01,g__,,,,,0.539722114,6.389999805,,,,,,,,,,,,,,,,,,,3.46486096
0216_BV02_MP05.26,Buena Vista,16-Feb,85.58,3.03,66.67,1.888433,376,54.4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__JACMKV01,g__,,,,,39.7564634,25.60585616,,,,,,,,,,,,,,,,,,,32.68115978
0216_BV02_MP05.40.003,Buena Vista,16-Feb,75.05,7.58,77.27,2.621127,726,62.4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Acidiferrobacterales,f__Sulfurifustaceae,g__,,,,,15.49281653,11.76797644,,,,,,,,,,,,,,,,,,,13.63039649
0216_BV02_MP05.40.187,Buena Vista,16-Feb,67.1,6.87,30,1.761863,537,48.3,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,,,,,1.477451062,8.202788074,,,,,,,,,,,,,,,,,,,4.840119568
0216_BV02_MP05.41,Buena Vista,16-Feb,56.51,4.87,60,1.295394,314,56.2,d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__,,,,,5.859090273,3.266552993,,,,,,,,,,,,,,,,,,,4.562821633
0216_BV02_MP05.49,Buena Vista,16-Feb,66.69,6.5,15.38,1.678609,571,64.4,d__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__0-14-0-80-60-11,g__,,,,,1.548167117,6.010036642,,,,,,,,,,,,,,,,,,,3.779101879
0216_BV02_MP12.12,Buena Vista,16-Feb,51.21,0.86,0,1.365989,343,69.9,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__70-9,g__,,,,,,,0.287307943,6.370488908,,,,,,,,,,,,,,,,,3.328898426
0216_BV02_MP12.13,Buena Vista,16-Feb,67.39,3.13,54.55,1.352407,325,54.3,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__JACMKV01,g__,,,,,,,19.37240711,27.16170423,,,,,,,,,,,,,,,,,23.26705567
0216_BV02_MP12.40.057,Buena Vista,16-Feb,70.21,8.08,39.29,2.881369,952,60.4,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__JACAEB01,f__JACAEB01,g__,,,,,,,2.27683824,4.8140313,,,,,,,,,,,,,,,,,3.54543477
0216_BV02_MP12.40.168,Buena Vista,16-Feb,53.73,6.41,0,2.219561,631,59.2,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__,,,,,,,1.164513286,5.331290246,,,,,,,,,,,,,,,,,3.247901766
0216_BV02_MP12.41,Buena Vista,16-Feb,81.78,5.2,50,2.811807,509,62.2,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Acidiferrobacterales,f__Sulfurifustaceae,g__,,,,,,,8.48141264,18.94220382,,,,,,,,,,,,,,,,,13.71180823
0216_BV02_MP12.62,Buena Vista,16-Feb,80.46,8.51,7.69,4.814843,353,70.5,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__CSP1-6,g__,,,,,,,3.475068903,6.215373853,,,,,,,,,,,,,,,,,4.845221378
0216_BV02_MP12.9,Buena Vista,16-Feb,97.44,1.76,66.67,4.312423,225,57.8,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__CAINCZ01,g__,,,,,,,2.667635677,11.97080236,,,,,,,,,,,,,,,,,7.31921902
0216_QUI02_40_001,Quistococha,16-Feb,84.68,0.8,66.67,2.165093,529,54.5,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__,g__,,,,,,,,,0.035154865,26.09466641,0.013511597,0.015295374,,,,,,,,,,,,,6.539657062
0216_QUI02_concoct_102,Quistococha,16-Feb,80.48,1.01,25,2.828621,230,63.3,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__,,,,,,,,,5.175607696,0.108495842,3.621313782,1.22867095,,,,,,,,,,,,,2.533522068
0216_QUI02_concoct_41,Quistococha,16-Feb,53.08,4.74,28.57,4.089534,849,70.5,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__CSP1-6,g__,,,,,,,,,1.316844127,0.186401357,1.336620194,5.989448842,,,,,,,,,,,,,2.20732863
0216_QUI02_160,Quistococha,16-Feb,88.43,4.85,20,2.655169,319,54.9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__JACMKV01,g__,,,,,,,,,0.033624701,9.550293086,0.014741491,0.014861975,,,,,,,,,,,,,2.403380313
0216_QUI02_181,Quistococha,16-Feb,74.89,1.63,33.33,1.188994,260,42.2,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__JACTUA01,g__,,,,,,,,,0.003700685,6.264959191,0.002923848,0.003717693,,,,,,,,,,,,,1.568825354
0216_QUI02_213,Quistococha,16-Feb,85.27,2.52,80,1.522363,354,60.6,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__UBA472,g__,,,,,,,,,2.973237995,0.057083118,1.744501142,2.216828424,,,,,,,,,,,,,1.74791267
0216_QUI02_4,Quistococha,16-Feb,63.36,3.64,0,1.852135,465,50.1,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__,,,,,,,,,2.77010694,0.030122014,1.093262909,2.403962658,,,,,,,,,,,,,1.57436363
0216_QUI02_85,Quistococha,16-Feb,96.14,1.96,60,4.676012,370,61,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__CADEGL01,f__,g__,,,,,,,,,7.36109421,0.06363677,2.576449391,3.082842576,,,,,,,,,,,,,3.271005737
0715_SJ02_40_024,San Jorge,15-Jul,76.07,3.87,50,4.427206,1383,62.8,d__Bacteria,p__Planctomycetota,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__,,,,,,,,,,,,,12.99199313,7.060400538,,,,,,,,,,,10.02619683
0715_SJ02_40_061,San Jorge,15-Jul,63.39,9.14,92.86,1.915339,647,50.7,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,,,,,,,,,,,,,6.184416791,11.39359396,,,,,,,,,,,8.789005376
0715_SJ02_40_076,San Jorge,15-Jul,59.68,6.34,50,3.32665,791,67.3,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae,g__,,,,,,,,,,,,,4.533910356,2.019488235,,,,,,,,,,,3.276699296
0715_SJ02_40_127,San Jorge,15-Jul,64.96,7.98,29.41,2.472291,741,67.3,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Palsa-688,g__,,,,,,,,,,,,,3.13531265,2.566635141,,,,,,,,,,,2.850973896
0815_BV2_BMC3C_110,Buena Vista,15-Aug,50.71,5.16,36.36,2.398966,608,49.2,d__Bacteria,p__Desulfobacterota,c__Syntrophobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,,,,,,,,,,,,,,,3.027918204,3.595596892,,,,,,,,,3.311757548
0815_BV2_concoct_25,Buena Vista,15-Aug,66.13,4.58,57.14,2.896498,948,62.5,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__SZUA-6,f__Fen-1364,g__,,,,,,,,,,,,,,,3.034736995,2.926091563,,,,,,,,,2.980414279
0815_BV2_107_086,Buena Vista,15-Aug,86.67,0.8,100,1.566602,136,39.1,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__,,,,,,,,,,,,,,,9.882979779,2.015909078,,,,,,,,,5.949444429
0815_BV2_21,Buena Vista,15-Aug,68.52,4.18,44.44,2.240029,546,72.3,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__,,,,,,,,,,,,,,,4.652842675,6.317900408,,,,,,,,,5.485371542
0815_BV2_43,Buena Vista,15-Aug,79.14,1.82,50,3.129022,417,56.4,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__,,,,,,,,,,,,,,,10.17266425,4.625946124,,,,,,,,,7.399305187
0815_BV2_45,Buena Vista,15-Aug,92.29,2.26,60,4.757331,299,53.2,d__Bacteria,p__Desulfobacterota,c__Desulfomonilia,o__Desulfomonilales,f__Desulfomonilaceae,g__,,,,,,,,,,,,,,,3.985133517,9.901561721,,,,,,,,,6.943347619
0815_BV2_64,Buena Vista,15-Aug,69.92,2.81,20,3.201517,924,66.6,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae,g__,,,,,,,,,,,,,,,2.108261953,5.003812282,,,,,,,,,3.556037118
0815_BV2_7,Buena Vista,15-Aug,86.59,2.87,62.5,4.154855,1012,51,d__Bacteria,p__Desulfobacterota,c__RBG-13-43-22,o__RBG-13-43-22,f__RBG-13-43-22,g__,,,,,,,,,,,,,,,2.874722581,4.936632937,,,,,,,,,3.905677759
0815_BV2_9,Buena Vista,15-Aug,78.92,2.57,57.14,2.869696,303,71.2,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__,,,,,,,,,,,,,,,4.407778126,5.854506036,,,,,,,,,5.131142081
1015_BV01_concoct_66,Buena Vista,15-Oct,81.86,2.29,50,1.415395,420,51.2,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__,,,,,,,,,,,,,,,,,,,,,,,2.333838046,3.98736768,3.160602863
1015_BV01_107_003,Buena Vista,15-Oct,90,3.15,28.57,4.411942,276,73.6,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Kineosporiaceae,g__,,,,,,,,,,,,,,,,,,,,,,,6.457237716,8.651444034,7.554340875
1015_BV01_12,Buena Vista,15-Oct,74.3,2.07,81.82,1.435616,341,54.4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__JACMKV01,g__,,,,,,,,,,,,,,,,,,,,,,,10.1680922,5.516914063,7.842503132
1015_BV01_23,Buena Vista,15-Oct,89.64,9.4,29.27,2.444841,284,54.8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__JACMKV01,g__,,,,,,,,,,,,,,,,,,,,,,,5.083433367,6.087257172,5.58534527
1015_BV01_39,Buena Vista,15-Oct,87.94,4.33,16.67,3.513028,406,61.7,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__CAINCZ01,g__,,,,,,,,,,,,,,,,,,,,,,,2.440988012,9.36446367,5.902725841
1015_BV01_40_070,Buena Vista,15-Oct,50.98,8.4,0,3.148772,891,70.7,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__CSP1-6,g__,,,,,,,,,,,,,,,,,,,,,,,3.004915234,3.232434889,3.118675062
1015_Q2_BMC3C.1161,Quistococha,15-Oct,59.09,0.88,0,3.413032,256,61.2,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,,,,,,,,,,,,,,,,,0.544111689,2.34632856,1.467554827,3.971751503,,,,,2.082436645
1015_Q2_concoct.142,Quistococha,15-Oct,52.92,5.19,6.25,1.676383,530,59.5,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Palsa-1439,f__Palsa-1439,g__,,,,,,,,,,,,,,,,,1.392823167,0.287376397,2.343484475,1.646493788,,,,,1.417544457
1015_Q2_concoct.19,Quistococha,15-Oct,53.44,2.39,100,2.49388,741,67.5,d__Bacteria,p__CSP1-3,c__CSP1-3,o__CSP1-3,f__NP-7,g__,,,,,,,,,,,,,,,,,1.069129652,0.705609408,3.191716264,1.329256311,,,,,1.573927909
1015_Q2_concoct.222,Quistococha,15-Oct,82.65,2.56,33.33,5.07777,1103,70.1,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Methylomirabilales,f__2-02-FULL-66-22,g__,,,,,,,,,,,,,,,,,2.732637418,17.77013403,1.832522139,6.999380359,,,,,7.333668487
1015_Q2_concoct.249,Quistococha,15-Oct,51.3,0,0,1.512789,607,52.9,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Vampirovibrionales,f__Vampirovibrionaceae,g__,,,,,,,,,,,,,,,,,0.01386341,0.012662139,4.998381553,0.011918313,,,,,1.259206354
1015_Q2_concoct.41,Quistococha,15-Oct,65.83,6.16,0,2.40989,647,64.3,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__Binatales,f__Binataceae,g__,,,,,,,,,,,,,,,,,2.093317847,0.77620286,2.292949254,0.845548827,,,,,1.502004697
1015_Q2_concoct.78,Quistococha,15-Oct,75.51,5.16,20,4.73623,823,52.6,d__Bacteria,p__Desulfobacterota,c__SM23-61,o__SM23-61,f__SM23-61,g__,,,,,,,,,,,,,,,,,0.347052551,4.000533429,0.85629754,2.412675667,,,,,1.904139797
1015_Q2.107_002,Quistococha,15-Oct,59.73,3.56,80,1.035758,331,47.8,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,,,,,,,,,,,,,,,,,19.59664476,12.22840037,8.245888893,8.18667607,,,,,12.06440252
1015_Q2.107_017,Quistococha,15-Oct,93.8,1.71,0,3.263023,117,60.3,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__QIAW01,g__,,,,,,,,,,,,,,,,,9.290041741,1.624695977,10.31473059,5.30297059,,,,,6.633109725
